city,confidence,lat,Lon,,,
Big Spring,0.8519720894960398,32.250992,-101.479073,,,
Billings,0.9033016548663795,45.7833,-108.5007,,,
Cave Creek,0.8641639382660027,33.8334,-111.9507,,,
Columbia,0.8419395154329354,38.9517,-92.3341,,,
Corpus Christi,0.8556611914245991,27.8006,-97.3964,,,
Des Moines,0.8568213705560197,41.5868,-93.625,,,
Douglas,0.8890179696377888,31.3445,-109.5453,,,
Holbrook,0.8880041126454669,34.9022,-110.1582,,,
Kachina Village,0.8627954581777371,35.097,-111.6927,,,
Los Angeles,0.8480488477305148,34.0522,-118.2437,,,
Mason City,0.8879359379419571,43.1536,-93.201,,,
Parker,0.8707977932281259,34.15,-114.2891,,,
Pasco,0.8195592140027576,46.2305,-119.0922,,,
Phoenix,0.8884009261409365,33.4484,-112.074,,,
Pittsburgh,0.9078309415605089,40.4406,-79.9959,,,
Pocatello,0.89334639105008,42.8621,-112.4506,,,
Roswell,0.8902409919275074,33.3943,-104.523,,,
Sahuarita,0.9219043338959924,31.9576,-110.9556,,,
San Francisco,0.904707905565333,37.7749,-122.4194,,,
Sioux Falls,0.8930314305684428,43.5473,-96.7283,,,
Sweet Home,0.8942059623826094,44.3976,-122.7362,,,
Yuma,0.8993333333333335,32.6927,-114.6277,,,